generation,selfStdDev,selfVx,selfVy,headOnOffset,headOnStdDev,headOnVx,headOnVy,fitness,accident
0,2.8544584190284095,289.8300724043962,-0.1392117480118884,379.22267041318526,0.8745989764626061,233.5869345221583,-40.81376031107499,1.13764785E-4,0
0,3.6133296078420782,283.54719178914735,-43.12041267439266,-45.858105975134606,6.017529795594862,248.23120363917408,43.353255601643255,9.7261276E-5,0
0,7.357791132174729,209.19745849745723,-62.47472231518573,-462.05112649668314,8.335948805179314,267.5506839773874,-47.82439805917888,9.91994E-5,0
0,2.336158566575506,283.97729311178165,-55.31997705343286,483.7853322857777,14.252211135053836,260.5617703333966,-39.77620151444329,9.328175E-5,0
0,12.697955784889952,280.62163727280466,33.77639240388993,-326.6214423675229,7.855688224256379,261.63306858724866,-50.16500292122699,9.1028196E-5,0
1,12.697955784889952,280.62163727280466,33.77639240388993,-326.6214423675229,7.855688224256379,267.5506839773874,-47.82439805917888,8.869876E-5,0
1,7.357791132174729,209.19745849745723,-62.47472231518573,-462.05112649668314,8.335948805179314,261.63306858724866,-50.16500292122699,1.0049496E-4,0
1,2.336158566575506,283.97729311178165,-55.31997705343286,-462.08696391515906,8.335948805179314,267.5506839773874,-47.82439805917888,9.1576614E-5,0
1,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.5617703333966,-39.77620151444329,1.0069606E-4,0
1,2.8544584190284095,289.8300724043962,-0.1392117480118884,379.22267041318526,0.8745989764626061,233.5869345221583,-40.81376031107499,1.13764785E-4,0
2,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7298233495179,-40.81376031107499,1.0065918E-4,0
2,2.8544584190284095,289.8300724043962,-0.1392117480118884,379.22267041318526,0.8745989764626061,233.5869345221583,-39.77620151444329,1.13847695E-4,0
2,2.336158566575506,289.8300724043962,-0.1392117480118884,379.22267041318526,0.8745989764626061,233.5869345221583,-47.82439805917888,1.131968E-4,0
2,2.8544584190284095,283.97729311178165,-55.440527531821516,-462.08696391515906,8.335948805179314,267.5506839773874,-40.81376031107499,9.145183E-5,0
2,7.357791132174729,209.19745849745723,-62.47472231518573,-462.05112649668314,8.335948805179314,261.63306858724866,-39.77620151444329,1.0049957E-4,0
3,7.357791132174729,209.19745849745723,-0.1392117480118884,379.08563086030296,0.8745989764626061,260.7298233495179,-40.81376031107499,1.0073787E-4,0
3,2.8544584190284095,289.8300724043962,-62.47472231518573,483.7853322857777,14.252211135053836,233.5869345221583,-39.77620151444329,1.1071477E-4,0
3,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065915E-4,0
3,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7784190698018,-40.81376031107499,1.00648365E-4,0
3,2.8544584190284095,289.8300724043962,-0.1392117480118884,379.22267041318526,0.8745989764626061,233.5869345221583,-39.77620151444329,1.13847695E-4,0
4,7.357791132174729,209.19745849745723,-0.1392117480118884,379.22267041318526,0.8745989764626061,233.5869345221583,-39.77620151444329,1.071809E-4,0
4,2.8544584190284095,289.8300724043962,-0.1392117480118884,379.08563086030296,0.8745989764626061,260.7298233495179,-40.81376031107499,9.563582E-5,0
4,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7784190698018,-40.81376031107499,1.00648365E-4,0
4,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065915E-4,0
4,7.357791132174729,209.19745849745723,-62.47472231518573,483.87171938375576,14.252211135053836,233.5869345221583,-39.77620151444329,1.0708592E-4,0
5,2.8544584190284095,289.8300724043962,-0.1392117480118884,379.08563086030296,0.8745989764626061,260.7298233495179,-40.81376031107499,9.563582E-5,0
5,2.8544584190284095,289.8300724043962,-0.1392117480118884,379.08563086030296,0.8745989764626061,260.7298233495179,-40.81376031107499,9.563582E-5,0
5,7.357791132174729,209.19745849745723,-62.47472231518573,483.87171938375576,14.38982278640431,233.5869345221583,-39.77620151444329,1.0708583E-4,0
5,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065915E-4,0
5,7.357791132174729,209.19745849745723,-0.1392117480118884,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.00737816E-4,0
6,7.357791132174729,209.19745849745723,-62.445073605290204,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065917E-4,0
6,7.357791132174729,209.19745849745723,-62.47472231518573,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065915E-4,0
6,7.357791132174729,209.19745849745723,-62.47472231518573,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.0071431E-4,0
6,7.357791132174729,209.19745849745723,-0.1392117480118884,483.87171938375576,14.38982278640431,233.5869345221583,-39.77620151444329,1.0712321E-4,0
6,7.357791132174729,289.8300724043962,-0.07341163543574912,379.08563086030296,0.8745989764626061,260.7298233495179,-40.81376031107499,9.536927E-5,0
7,7.357791132174729,289.8300724043962,-0.07341163543574912,483.87171938375576,14.38982278640431,233.5869345221583,-39.77620151444329,1.1508335E-4,0
7,7.357791132174729,209.19745849745723,-0.14664854380026202,379.08563086030296,0.8745989764626061,260.7298233495179,-40.81376031107499,1.0073787E-4,0
7,7.357791132174729,209.19745849745723,-62.445073605290204,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065917E-4,0
7,7.357791132174729,209.19745849745723,-62.47472231518573,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.0071431E-4,0
7,7.357791132174729,209.19745849745723,-0.07341163543574912,379.08563086030296,0.8745989764626061,260.7298233495179,-40.75759031400764,1.0073787E-4,0
8,7.357791132174729,209.19745849745723,-62.445073605290204,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065917E-4,0
8,7.357791132174729,209.19745849745723,-62.445073605290204,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065917E-4,0
8,7.357791132174729,209.19745849745723,-62.47472231518573,379.22267041318526,0.8745989764626061,260.7298233495179,-40.81376031107499,1.0071431E-4,0
8,7.357791132174729,209.19745849745723,-62.445073605290204,483.7853322857777,14.252211135053836,260.7298233495179,-40.75759031400764,1.0065917E-4,0
